,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,2022-01-28,318.75529272409506,275.889733010645,349.52948331732955,318.75529272409506,318.75529272409506,-5.745592871248368,-5.745592871248368,-5.745592871248368,-5.745592871248368,-5.745592871248368,-5.745592871248368,0.0,0.0,0.0,313.00969985284667
11,2022-01-31,317.6891989869499,278.9189373050593,355.50170079015084,317.6891989869499,317.6891989869499,-1.3388239440304754,-1.3388239440304754,-1.3388239440304754,-1.3388239440304754,-1.3388239440304754,-1.3388239440304754,0.0,0.0,0.0,316.35037504291944
12,2022-02-01,317.3338344079015,273.8514239207998,350.2426209390265,317.3338344079015,317.3338344079015,-4.373080797677793,-4.373080797677793,-4.373080797677793,-4.373080797677793,-4.373080797677793,-4.373080797677793,0.0,0.0,0.0,312.9607536102237
13,2022-02-02,316.9784698288532,274.7462004946133,349.2297764262956,316.9784698288532,316.9784698288532,-3.540678486623499,-3.540678486623499,-3.540678486623499,-3.540678486623499,-3.540678486623499,-3.540678486623499,0.0,0.0,0.0,313.4377913422297
14,2022-02-03,316.6231052498048,274.10946417130657,350.25415741198617,316.6231052498048,316.6231052498048,-4.219611184207232,-4.219611184207232,-4.219611184207232,-4.219611184207232,-4.219611184207232,-4.219611184207232,0.0,0.0,0.0,312.40349406559756
15,2022-02-04,316.2677406707564,273.74747762639726,346.88824429456673,316.2677406707564,316.2677406707564,-5.74559287127816,-5.74559287127816,-5.74559287127816,-5.74559287127816,-5.74559287127816,-5.74559287127816,0.0,0.0,0.0,310.5221477994782
16,2022-02-07,315.20164693361124,274.1900838698323,351.15467122458455,315.20164693361124,315.20164693361124,-1.3388239440291194,-1.3388239440291194,-1.3388239440291194,-1.3388239440291194,-1.3388239440291194,-1.3388239440291194,0.0,0.0,0.0,313.8628229895821
17,2022-02-08,314.8462823737794,272.6696325974423,346.2529887706536,314.8462823737794,314.8462823737794,-4.373080797673514,-4.373080797673514,-4.373080797673514,-4.373080797673514,-4.373080797673514,-4.373080797673514,0.0,0.0,0.0,310.47320157610585
18,2022-02-09,314.49091781394753,276.044332383142,345.6050442607415,314.49091781394753,314.49091781394753,-3.5406784866178698,-3.5406784866178698,-3.5406784866178698,-3.5406784866178698,-3.5406784866178698,-3.5406784866178698,0.0,0.0,0.0,310.95023932732965
19,2022-02-10,314.13555325411573,274.0301220410939,345.3526544741624,314.13555325411573,314.13555325411573,-4.219611184194812,-4.219611184194812,-4.219611184194812,-4.219611184194812,-4.219611184194812,-4.219611184194812,0.0,0.0,0.0,309.9159420699209
20,2022-02-11,313.7801886942839,271.995548899618,344.44178290561837,313.7801886942839,313.7801886942839,-5.7455928712707856,-5.7455928712707856,-5.7455928712707856,-5.7455928712707856,-5.7455928712707856,-5.7455928712707856,0.0,0.0,0.0,308.0345958230131
21,2022-02-14,312.7140950147883,275.1031463065327,347.99336162966677,312.7140950147883,312.7140950147883,-1.3388239440396177,-1.3388239440396177,-1.3388239440396177,-1.3388239440396177,-1.3388239440396177,-1.3388239440396177,0.0,0.0,0.0,311.3752710707487
